topic,topic_name_zh,topic_name_en,mean_document_proportion,top_words,representative_docs,interpretation_zh
1,技术支持的在线与协作学习设计,Technology-Enhanced Online and Collaborative Learning Design,0.12246512,"learning, student, use, design, based, online, teaching, technology, group, data",doc 6211 (0.989); doc 9897 (0.988); doc 2873 (0.987); doc 2356 (0.974); doc 10183 (0.965),该主题主要关注在线学习、游戏化学习、协作学习和技术支持的课程设计。高概率词包括 learning、student、design、online、teaching、technology、system 和 course。代表文档多讨论如何通过在线讨论、游戏化系统、智能学习环境或数字工具改善学生学习体验，因此将该主题命名为“技术支持的在线与协作学习设计”。
2,STEM与工程科学教育,STEM and Engineering Science Education,0.02760357,"science, engineere, stem, student, interest, project, course, technology, design, field",doc 12106 (0.739); doc 12121 (0.718); doc 824 (0.704); doc 6060 (0.701); doc 53 (0.672),该主题集中在科学、工程、STEM 课程和学生职业兴趣培养上。高概率词包括 science、engineering、stem、project、technology、mathematics、major 和 career。代表文档涉及工程课程设计、STEM outreach camp、微电子或生物识别等工程科技课程，因此将该主题命名为“STEM与工程科学教育”。
3,教师教育、课程设计与专业发展,"Teacher Education, Curriculum Design, and Professional Development",0.13239063,"teacher, teaching, student, program, learning, practice, evaluation, development, use, curriculum",doc 11692 (0.989); doc 7397 (0.948); doc 11180 (0.944); doc 4976 (0.938); doc 2183 (0.934),该主题主要讨论教师、教学实践、课程设计、评价和专业发展。高概率词包括 teacher、teaching、program、practice、evaluation、curriculum、professional 和 school。代表文档关注教师评价决策、教学监督、UDL 课程设计和教师技术整合能力，因此将该主题命名为“教师教育、课程设计与专业发展”。
4,化学与实验室科学教学,Chemistry and Laboratory Science Instruction,0.03451691,"student, chemistry, laboratory, use, experiment, concept, scientific, reaction, lab, biology",doc 2410 (0.986); doc 1245 (0.985); doc 1594 (0.985); doc 1975 (0.985); doc 6388 (0.983),该主题围绕化学、实验室课程、实验设计和科学概念学习展开。高概率词包括 chemistry、laboratory、experiment、concept、scientific、reaction、biology 和 chemical。代表文档多为有机化学实验、微流控实验、光谱分析和生物化学实验课程，因此将该主题命名为“化学与实验室科学教学”。
5,在线学习中的自我调节、动机与参与,"Self-Regulation, Motivation, and Engagement in Online Learning",0.09503835,"student, learning, self, online, effect, use, motivation, academic, efficacy, perceive",doc 2110 (0.993); doc 8179 (0.993); doc 8113 (0.992); doc 5133 (0.991); doc 2306 (0.989),该主题强调学生在在线学习环境中的自我调节、学习动机、学业情绪、感知和参与。高概率词包括 self、online、motivation、academic、efficacy、perceive、relationship 和 engagement。代表文档多使用结构方程模型或路径模型分析在线学习中的心理因素，因此将该主题命名为“在线学习中的自我调节、动机与参与”。
6,学生成绩、测试与学习效果评估,"Student Achievement, Testing, and Learning Outcome Evaluation",0.08150201,"student, test, group, performance, score, course, effect, year, school, grade",doc 7308 (0.938); doc 4706 (0.927); doc 4553 (0.909); doc 8652 (0.903); doc 1682 (0.879),该主题主要关注学生表现、测试成绩、课程效果、年级差异和学习结果评估。高概率词包括 test、performance、score、effect、year、school、grade、class 和 difference。代表文档通常比较不同学生群体或教学干预后的成绩变化，因此将该主题命名为“学生成绩、测试与学习效果评估”。
7,医学、护理与临床健康教育,"Medical, Nursing, and Clinical Health Education",0.06048255,"student, medical, clinical, health, patient, care, program, nurs, survey, ability",doc 1726 (0.889); doc 1397 (0.871); doc 8764 (0.851); doc 9194 (0.850); doc 1706 (0.825),该主题集中在医学教育、临床训练、患者照护、护理、药学和健康专业课程上。高概率词包括 medical、clinical、health、patient、care、nursing、training、pharmacy 和 medicine。代表文档涉及医学生、护理学生或健康专业学生的临床能力和课程培训，因此将该主题命名为“医学、护理与临床健康教育”。
8,学业路径、职业发展与高等教育机构,"Academic Pathways, Career Development, and Higher Education Institutions",0.07689393,"student, academic, program, career, factor, institution, data, year, degree, community",doc 6684 (0.993); doc 9269 (0.992); doc 2335 (0.989); doc 1928 (0.988); doc 5497 (0.984),该主题关注学生的学业发展、专业选择、职业路径、学位获得、社区学院和高等教育机构因素。高概率词包括 academic、program、career、institution、degree、community、college 和 major。代表文档多讨论学生在学校或学院中的学习经历、留存、转学和职业结果，因此将该主题命名为“学业路径、职业发展与高等教育机构”。
9,英语语言、写作与读写能力,"English Language, Writing, and Literacy Development",0.03245419,"language, english, write, reade, chinese, literacy, text, proficiency, task, word",doc 10578 (0.838); doc 7843 (0.828); doc 3448 (0.793); doc 3559 (0.692); doc 571 (0.692),该主题主要涉及英语学习、写作、阅读、词汇、文本理解和外语能力发展。高概率词包括 language、english、write、reading、chinese、literacy、vocabulary、efl 和 comprehension。代表文档多关注 EFL 学习者、英语写作任务和阅读理解能力，因此将该主题命名为“英语语言、写作与读写能力”。
10,学生健康、性别与社会心理因素,"Student Health, Gender, and Psychosocial Factors",0.06282441,"child, school, health, student, use, social, gender, woman, participant, female",doc 338 (0.985); doc 2240 (0.953); doc 1430 (0.948); doc 78 (0.941); doc 8532 (0.939),该主题聚焦学生健康、性别、家庭、压力、心理健康和社会因素。高概率词包括 child、school、health、social、gender、woman、female、stress、mental 和 family。代表文档多讨论儿童、女性或学生群体的健康与社会心理问题，因此将该主题命名为“学生健康、性别与社会心理因素”。
